ACTIVITY,DATE,TIME,LOCATION,DISTANCE,CALORIES,OVERALL,AVG_HR,MAX_HR,AVG_CADENCE,MAX_CADENCE,AVG_PACEMIN,BEST_PACEMIN,ELEV_GAIN,ELEV_LOSS,STRIDE,CONSUMED
Running,12/12/19,16:33,C,4.01,401,35.02,157,176,178,199,8.73,7.18,13,13,1.02,1669
Running,12/13/19,16:23,C,1.25,115,10.33,153,168,185,192,8.27,7.92,347,7,1.05,1661
Running,12/14/19,8:17,H,4.01,392,35.68,154,178,178,195,8.9,7.18,66,108,1.01,1820
Running,12/15/19,7:32,H,8.69,844,80.4,152,170,174,246,9.25,7.45,118,128,1,1433
Running,12/16/19,16:42,H,2.55,252,23.4,148,164,178,190,9.2,2.6,16,7,0.98,1526
Running,12/17/19,17:36,C,3.08,294,27.47,148,164,181,193,8.9,7.73,347,13,1,1517
Running,12/18/19,16:27,H,5.06,503,45.22,153,165,178,200,8.93,7.6,23,95,1.01,1543
Running,12/19/19,16:29,H,4.04,392,35.35,153,173,175,208,8.77,6.2,39,59,1.05,1423
Running,12/21/19,6:11,C,4.11,408,36.67,153,172,179,191,8.92,7.17,13,43,1.01,1688
Running,12/22/19,7:24,C,11.78,1185,105.15,158,172,178,199,8.93,7.58,69,131,1.01,1804
Running,12/23/19,7:40,H,1.65,170,15.77,148,162,178,186,9.57,8.78,20,13,0.94,1521
Running,12/24/19,6:25,H,5.06,465,45.17,145,171,178,199,8.93,6.83,36,98,1.01,1778
Running,12/25/19,7:01,C,5.01,465,43.95,148,171,178,190,8.78,7.57,23,105,1.03,1877
Running,12/26/19,6:56,H,3.01,304,28.07,149,164,180,195,9.33,7.7,325,56,0.96,1318
Running,12/27/19,7:09,H,10.38,1047,95.22,155,174,176,206,9.17,5.98,49,151,0.99,1862
Running,12/28/19,8:03,H,4.27,434,39.6,150,163,177,186,9.27,8.5,30,26,0.98,1417
Running,12/29/19,7:01,C,3.01,302,25.88,160,174,182,192,8.6,7.85,347,26,1.03,1642
Running,1/1/20,15:50,C,2.5,244,21.55,158,170,181,191,8.62,8.03,13,13,1.03,1486
Running,1/2/20,7:41,H,3.01,291,26.88,152,169,181,193,8.93,6.63,325,69,1,1575
Running,1/3/20,7:00,H,3.05,302,27.33,155,174,181,209,8.95,6.77,7,59,0.99,1635
Running,1/4/20,6:31,H,6.25,633,55.12,162,181,180,189,8.82,8.12,1549,1516,1.01,1631
Running,1/5/20,7:29,H,6.08,578,52.92,157,171,180,246,8.7,7.77,463,561,1.03,1644
Running,1/6/20,16:21,H,4.01,384,35.7,154,174,178,194,8.9,7.67,210,289,1.01,1683
Running,1/7/20,18:50,C,2.4,222,20.25,156,173,179,186,8.43,8.05,13,20,1.06,1555
Running,1/8/20,16:32,H,5.03,489,45.03,157,176,176,190,8.95,8.12,436,469,1.02,1514
Running,1/9/20,17:50,C,3.11,306,28.62,155,167,180,188,9.2,8.15,449,482,0.97,1566
Running,1/10/20,18:33,H,2.01,201,19,154,164,178,184,9.47,8.55,7,13,0.95,1321
Running,1/11/20,8:06,H,4.28,423,39,155,174,179,193,9.12,8.38,23,33,0.99,1729
Running,1/12/20,8:01,H,11.79,1134,110.1,155,171,176,190,9.33,8.15,2615,2592,0.98,1589
Running,1/13/20,16:23,H,3.01,290,28.07,149,163,180,189,9.33,8.48,187,207,0.96,1592
Running,1/14/20,18:49,C,4.29,410,35.72,163,179,176,218,8.33,5.17,715,699,1.1,1748
Running,1/15/20,16:24,H,5.01,495,45.75,156,172,177,187,9.12,6.77,82,105,1,1539
Running,1/16/20,16:17,H,3.22,315,28.78,158,168,175,191,8.93,7.43,23,39,1.03,1547
