ACTIVITY,DATE,TIME,LOCATION,DISTANCE,CALORIES,OVERALL,AVG_HR,MAX_HR,AVG_CADENCE,MAX_CADENCE,AVG_PACEMIN,BEST_PACEMIN,ELEV_GAIN,ELEV_LOSS,STRIDE,CONSUMED
Running,2020-01-14,18:49,Costa Mesa Running,4.29,410,35.72,163,179,176,218,8.33,5.17,715,699,1.1,1748
Running,2020-01-15,16:24,Huntington Beach Running,5.01,495,45.75,156,172,177,187,9.12,6.77,82,105,1,1539
Running,2020-01-16,16:17,Huntington Beach Running,3.22,315,28.78,158,168,175,191,8.93,7.43,23,39,1.03,1547
Running,2020-01-18,7:15,Huntington Beach Running,4.1,413,38.03,157,182,178,197,9.28,6.17,46,105,0.97,1586
Running,2020-01-19,7:15,Huntington Beach Running,2.03,189,19.03,146,156,178,188,9.38,1.63,98,79,0.96,1667
Running,2020-01-20,6:49,Costa Mesa Running,9.03,863,82.55,152,165,175,190,9.15,7.18,1890,1965,1,1797
Running,2020-01-21,16:44,Costa Mesa Running,4.04,390,36.25,154,168,177,194,8.97,7.85,413,440,1.02,1660
Running,2020-01-22,16:34,Huntington Beach Running,4.02,389,36.68,152,167,176,186,9.13,7.93,472,446,1,1546
Running,2020-01-23,16:23,Costa Mesa Running,5.04,484,45.07,156,170,178,189,8.95,7.75,719,712,1.01,1743
Running,2020-01-24,5:34,Huntington Beach Running,2.02,205,18.5,157,167,180,187,9.15,8.32,20,16,0.98,1926
Running,2020-01-25,7:45,Costa Mesa Running,2.01,185,18,151,164,180,187,8.97,8.15,226,440,1,1079
Running,2020-01-26,7:26,Huntington Beach Running,12.32,1173,115.03,156,172,173,249,9.33,7.45,1289,1302,0.99,1253
Running,2020-01-27,16:24,Huntington Beach Running,3.06,250,27.45,139,167,177,188,8.98,7.48,13,13,1.01,1662
Running,2020-01-28,18:43,Costa Mesa Running,2.34,215,20.02,153,162,177,189,8.57,7.73,347,23,1.06,1803
Running,2020-01-29,16:48,Huntington Beach Running,3.01,300,27.43,152,167,177,186,9.1,8.23,125,167,1,1376
Running,2020-01-30,16:18,Huntington Beach Running,3.53,365,31.78,163,173,179,190,9.02,8.17,367,364,1,1691
Running,2020-01-31,6:19,Huntington Beach Running,4,404,35.45,164,179,179,187,8.85,6.27,105,167,1.02,1607
Running,2020-02-02,7:57,Huntington Beach Running,13.18,1387,118.33,169,184,178,196,8.97,7.43,1355,1358,1.01,1656
Running,2020-02-03,17:06,Costa Mesa Running,2.11,185,19.05,145,167,180,191,9.05,8.17,46,66,0.99,1640
Running,2020-02-04,18:53,Costa Mesa Running,3.25,311,26.5,166,177,181,215,8.13,5.8,220,230,1.09,1630
Running,2020-02-06,5:40,Huntington Beach Running,3.02,309,27.95,160,186,177,191,9.25,7.88,174,138,0.98,1531
Running,2020-02-07,16:19,Huntington Beach Running,2.16,195,20.08,145,170,180,193,9.3,8.18,62,102,0.96,1701
Running,2020-02-08,6:36,Huntington Beach Running,6.01,584,54.22,158,178,180,188,9.03,7.5,1102,1358,0.99,1661
Running,2020-02-09,7:12,Huntington Beach Running,4.01,385,36.12,156,174,179,191,9.02,8.17,453,561,1,1560
Running,2020-02-10,16:36,Huntington Beach Running,3.18,322,28.85,163,186,175,188,9.07,7.75,778,994,1.01,1526
Running,2020-02-12,16:49,Huntington Beach Running,3,289,27.25,156,169,179,188,9.07,7.58,56,69,0.99,1617
Running,2020-02-13,16:42,Huntington Beach Running,3.52,326,31.72,152,168,177,186,9.02,7.92,66,102,1.01,1459
Running,2020-02-14,16:38,Huntington Beach Running,3.4,343,30.93,162,176,179,190,9.1,7.42,13,7,0.99,1381
Running,2020-02-16,7:45,Costa Mesa Running,5.49,541,49.47,160,181,175,190,9,8.12,52,33,1.02,1493
Running,2020-02-17,9:20,Huntington Beach Running,4.37,421,40.2,156,173,179,188,9.2,8.45,328,433,0.98,1332
Running,2020-02-18,18:40,Costa Mesa Running,4.46,369,38.45,147,178,171,226,8.62,5.57,171,279,1.09,1791
Running,2020-02-19,15:04,Costa Mesa Running,5.01,485,45.53,156,175,179,197,9.08,7.82,72,66,0.99,1576
Running,2020-02-20,16:38,Huntington Beach Running,4.02,373,36.65,150,165,178,192,9.12,7.68,276,381,0.99,1584
Running,2020-02-21,16:44,Huntington Beach Running,2.05,191,18.52,150,168,178,187,9.03,7.67,13,20,1,1530
Running,2020-02-22,6:58,Costa Mesa Running,4.01,396,36.13,156,165,181,190,9.02,7.77,20,118,0.99,1699
Running,2020-02-23,5:59,Huntington Beach Running,10.74,1033,100.17,153,171,175,192,9.32,7.3,210,220,0.99,1562
Running,2020-02-24,16:59,Huntington Beach Running,2.16,207,20.08,148,162,176,186,9.3,8,30,89,0.98,1679
Running,2020-02-25,5:31,Huntington Beach Running,4,406,36.18,157,172,180,198,9.05,7.37,56,46,0.98,1857
Running,2020-02-26,5:35,Huntington Beach Running,6.01,601,53.57,160,182,177,216,8.9,6.08,331,289,1.02,1598
Running,2020-02-27,16:25,Costa Mesa Running,4.62,460,40.58,161,169,179,192,8.78,7.68,39,85,1.03,1549
Running,2020-02-28,16:20,Huntington Beach Running,2.22,217,20.18,153,163,179,188,9.08,8.5,13,16,0.99,1634
Running,2020-02-29,5:46,Huntington Beach Running,4.05,397,37,152,165,182,190,9.13,8.15,459,417,0.97,1598
Running,2020-03-01,7:37,Huntington Beach Running,12.33,1192,115.08,155,177,176,250,9.33,7.53,771,840,0.98,1638
Running,2020-03-02,16:48,Huntington Beach Running,3.01,296,28,153,165,178,188,9.28,7.97,79,85,0.97,1416
Running,2020-03-03,18:44,Costa Mesa Running,2.43,211,20,155,165,181,198,8.23,7.78,30,59,1.08,1665
Running,2020-03-04,15:51,Huntington Beach Running,4.01,396,37.05,155,168,180,189,9.25,7.82,348,417,0.97,1589
Running,2020-03-05,17:07,Huntington Beach Running,6.01,596,53.97,160,172,178,190,8.98,7.88,453,479,1.01,1636
Running,2020-03-06,16:25,Huntington Beach Running,1.53,135,13.98,145,164,181,190,9.13,8.4,505,574,0.98,1479
Running,2020-03-07,8:09,Huntington Beach Running,4.29,424,37.3,165,180,183,194,8.7,7.6,853,1017,1.01,1778
Running,2020-03-08,7:44,Costa Mesa Running,10.05,987,91.22,160,175,179,194,9.08,7.48,1588,1670,0.99,1473
Running,2020-03-10,17:25,Costa Mesa Running,2.91,300,25.45,170,182,179,199,8.75,7.92,36,30,1.02,1410
